Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
preconcmpts,preconsent_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Pre-consent Survey Completed Timestamp <span style=""font-weight: normal;"">(from REDCap)</span></span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-completed:preconsent_survey]<> '', [survey-time-completed:preconsent_survey],''))"
icf_econsent_inst,consent_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-danger mb-0"" role=""alert""> <h6><i class=""fas fa-eye-slash"">ÿ</i> <strong>Staff Alert</strong></h6> <p><u>Study staff CANNOT <em>sign</em> this form</u><span style=""font-weight: normal;""> on behalf of the participant. For a valid consent, a participant must complete this form as a survey or participant must complete a paper consent form.</span></p> <ul> <li><span style=""color: #e03e2d;"">Paper Consent</span> <ul> <li><span style=""color: #e03e2d; font-weight: normal;"">Doucment paper consent</span> <span style=""font-weight: normal;"">in the paper consent section of the this form.</span></li> </ul> </li> <li><span style=""color: #e03e2d;"">No Response</span> <ul> <li><span style=""font-weight: normal;"">Participant is lost to contact (bad email, does not respond to recruitment) or participant communicated to the study staff they do want to participate, complete <span style=""color: #e03e2d;"">No Response</span> section of this form.</span></li> </ul> </li> </ul> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY @HIDDEN-PDF
icf_dat,consent_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Consent survey/form date <span style=""font-weight: normal;"">(date survey/form opened)</span></span></p></div>",,,date_mdy,,,,,,LV,,,, @HIDDEN-SURVEY @TODAY
consent_hdr_2,consent_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #34495e;""><i class=""fas fa-handshake-alt"">ÿ</i> <strong>No Response</strong></span></h6> </div> </div></div>",,,,,,,[survey-time-completed:consent_survey] = '' and [c184390(1)] = '0',,,,,, @HIDDEN-PDF @HIDDEN-SURVEY
crcid_icf,consent_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Interviewer Code</span></p></div>",,,,,,,[survey-time-completed:consent_survey] = '' and [c184390(1)] = '0',,LV,,,, @HIDDEN-SURVEY
icf_nd,consent_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-comment-slash"">ÿ</i> No participant response</span></p></div>","999, Consent survey not done",,,,,,[survey-time-completed:consent_survey] = '' and [c184390(1)] = '0',,LV,,,, @HIDDEN-PDF @HIDDEN-SURVEY
consent_hdr,consent_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #34495e;""><i class=""fas fa-handshake-alt"">ÿ</i> <strong>Paper Consent</strong></span></h6> </div> </div></div>",,,,,,,[icf_nd(999)] = '0' and [survey-date-completed:consent_survey] = '',,,,,, @HIDDEN-PDF @HIDDEN-SURVEY
c184390,consent_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Paper consent obtained</span></p></div>","1, Check this box to confirm that paper consent was obtained",,,,,,[icf_nd(999)] = '0' and [survey-date-completed:consent_survey] = '',,LV,,,, @HIDDEN-PDF @HIDDEN-SURVEY
c184390_dat,consent_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Date paper consent completed</span></p></div>",,,date_mdy,,,,[c184390(1)]='1',,LV,,,,
econsent_hdr,consent_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-secondary mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #666666;""><strong>E-Consent Starts Here</strong></span></h6> </div> </div></div>",,,,,,,,,,,,, @HIDDEN-PDF @HIDDEN-SURVEY
icf_version,consent_survey,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Version</span></p></div>","1, MM/DD/YYYY",,,,,,,,LV,,,, @HIDDEN-SURVEY @HIDDEN-PDF @SETVALUE = '1'
icf_appdat,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: right;"">IRB Approved: <span style=""font-weight: normal;"">MM-DD-YYYY</span><br />Approval Expires: <span style=""font-weight: normal;"">MM-DD-YYYY</span></p></div>",,,,,,,,,,,,,
ai_readi_logo,consent_survey,,descriptive,,,,,,,,,,,,,,
icf_heading,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p><strong><u>IRB #</u></strong>: <em><span style=""font-weight: normal;"">[STUDY0000####]</span></em></p> <p><span style=""text-decoration: underline;""><strong>TITLE</strong>:</span><span style=""font-weight: normal;""> AI READY AND EQUITABLE ATLAS FOR DIABETES INSIGHTS (AI-READI)</span></p> <p><u><strong>PRINCIPAL INVESTIGATOR</strong>:</u></p> <p><strong><u>RESEARCH TEAM (UW):<br /></u></strong></p> <p><span style=""font-weight: normal;"">Cecilia Lee, MD, MS, Associate Professor of Ophthalmology, Department of Ophthalmology, 206-668-8309</span></p> <p><span style=""font-weight: normal;"">Missy Takahashi, Research Manager, Department of Ophthalmology, 206-710-6689 ÿ ÿ</span></p> <p><span style=""font-weight: normal;"">Yvonne Hong and Christina Duong, Research Coordinators, Department of Ophthalmology, 206-710-6689</span></p> <p>24-hour emergency telephone number: 206-744-3000 - ask for eye doctor on callÿ</p></div>",,,,,,,,,,,,,
icf_intro,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">We are asking you to be in a research study. This form gives you information to help you decide whether or not to be in the study. Being in the study is voluntary. Please read this carefully. ÿYou may ask any questions about the study. Then you can decide whether or not you want to be in the study.</span></p></div>",,,,,,,,,,,,,
icf_purpose,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>PURPOSE OF THE STUDY</u>:ÿ </strong></p> <p><span style=""font-weight: normal;"">The purpose of this study is to collect information on type 2 diabetes in people with and without diabetes from diverse racial and ethnic backgrounds. After removing the information that may giveaway your identity, we will place the data we collect from you, along with that from thousands of other volunteers like you, into a database. The database will be publicly accessible to anyone who is interested in studying type 2 diabetes and used for scientific discovery.</span></p></div>",,,,,,,,,,,,,
icf_proceduresx,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>STUDY PROCEDURES</u></strong><strong>:</strong></p> <p><span style=""font-weight: 400;"">Your study participation will consist of one in-person study visit followed by approximately ten days of at-home study participation. Your total active study participation is expected to be approximately 11 days. At the end of the home study participation, you will be expected to return several study items. The study payment is contingent upon the successful return of all devices.</span></p></div>",,,,,,,,,,,,,
icf_instudy_part,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">IN-PERSON STUDY PARTICIPATION:</span></p> <p><span style=""text-decoration: underline;"">Sample Collection</span><span style=""font-weight: normal;""><br />We will collect a urine sample and about 3-4 spoonfuls of blood (50-60mL). You will not need to be fasting. We will use these samples to aid in assessing your general health.ÿ<br /></span></p> <p><span style=""text-decoration: underline;"">Demographics</span><span style=""font-weight: normal;""><br />We will ask you about your racial and ethnic background and collect other basic demographic information, and to fill out several questionnaires related to general health, diabetes, and social factors associated with health and disease. You do not need to answer any question you are uncomfortable with.<br /></span></p> <p><span style=""text-decoration: underline;"">Additional Testing</span><span style=""font-weight: normal;""><br />We will test your memory and other thinking processes, measure your vital signs such as blood pressure, height, and weight, and perform an ECG (electrocardiogram) to see how your heart works. We will also use thin bendable wires to evaluate how well you can feel the sense of touch on the bare soles of your feet. This is called a monofilament test and it is important for people who have diabetes because this disease often changes the ability to sense touch in some areas of the body.<br /></span></p> <p><span style=""text-decoration: underline;"">Eye Exam</span><span style=""font-weight: normal;""><br />We will exam and image your eyes, part of this process may be similar to care you have received from an optometrist or ophthalmologist in the past. We will test your glasses prescription and your vision by reading letters under normal and reduced light.. We will also take images of the back of your eyes using several different cameras. We will need to apply eye drops to enlarge your pupils and get better pictures of your eyes. If you are sensitive to the drops, we may choose to use only one type of eye drops or take the pictures without using the drops.ÿ</span></p> <p><span style=""text-decoration: underline;"">Glucose Monitoring</span><span style=""font-weight: normal;""><br />We will attach a continuous glucose monitoring device, also known as a CGM, to the skin of your stomach. The CGM has a sticker that keeps it in place on your stomach and a small sensor that will go under your skin to monitor your blood glucose. To get the sensor under your skin, you will push a button on the CGM and you will feel a slight pinch when the sensor goes into your skin. The study personnel will be present with you during the entire set up..</span></p></div>",,,,,,,,,,,,,
icf_athome_part,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">AT HOME STUDY PARTICIPATION:</span></p> <p><span style=""text-decoration: underline;"">Glucose Monitoring</span><br /><span style=""font-weight: normal;"">It will be important for our research study to understand how your glucose levels change during your daily activities. You will wear the continuous glucose monitor (CGM) device for 10 days. The CGM sensor will need to be returned at the end of the study as described below.</span></p> <p><span style=""text-decoration: underline;"">Physical Activity Tracking</span><br /><span style=""font-weight: normal;"">We will provide you with a physical activity tracker to wear for 10 days on your wrist to check how much time you spend walking, sitting, sleeping, or exercising, which also assesses your heart rate and oxygen level in your blood. The fitness tracker will not record any GPS data. It will be your responsibility to charge the device every day (evening recommended). The physical activity tracker must be returned at the end of the study as described below.ÿ</span></p> <p><span style=""text-decoration: underline;"">Air Quality Monitoring</span><br /><span style=""font-weight: normal;"">We want to explore the connection between air quality and diabetes. We will also provide you with a small sensor to keep in your house for 10 days. This sensor is for us to collect information on the air, light, temperature, and particles at home. You will not need to do anything besides place this device somewhere in your home. This sensor does not have a camera or microphone. It cannot collect any video, photographs, or sound from your home.</span></p> <p><span style=""text-decoration: underline;"">Returning the Devices</span><br /><span style=""font-weight: normal;"">After 10 days, you will peel off the glucose monitoring device and you may notice a small dot on your skin where the sensor was for 10 days (instructions on removal and study contact information in case you need help at home will be provided).ÿ</span></p> <p><span style=""font-weight: normal;"">The CGM sensor that you peeled off, the physical activity tracker, and the environmental sensor will be mailed back to the study in the prepaid mailing boxes provided.</span></p></div>",,,,,,,,,,,,,
icf_continuing_part,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p><strong><u>CONTINUING PARTICIPATION:</u></strong></p> <p><span style=""text-decoration: underline;"">Accessing Your Records</span><span style=""font-weight: normal;""><br />During this research study, we will look into your medical records and collect information related to your general health, eye health, medical history, diabetes, medications, laboratory records, and any previous medical imaging such as eye imaging. We will also collect information about any car accidents you may have experienced in the last 3 years.</span></p> <p><span style=""text-decoration: underline;"">Future Participation</span><span style=""font-weight: normal;""><br />Some study participants will be asked to come back for an additional study visit in the future. This visit will be identical to the first visit, meaning that you will have all the same information collected again. If you are invited to participate in a future visit, we will ask for your consent before collecting any additional information from you. You do not need to decide if you want to participate in a follow-up at this time.Copy and paste from your ICF.</span></p></div>",,,,,,,,,,,,,
icf_risks,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>RISKS, STRESS, OR DISCOMFORT</u></strong><strong>:</strong></p> <p><strong><span style=""text-decoration: underline;"">Eye Exam</span><span style=""font-weight: normal;""><br />One or more of the eye drops can cause mild and brief irritation to your eyes. The eye drops used for imaging will make your vision blurry and you will be sensitive to light for several hours. It is recommended that you do not drive until your vision is back to normal, or that you have someone accompany you to your visit to drive you home. We will provide you with tinted shields to reduce the effect of light on your eyes during this period. Eye imaging can occasionally take a long time, or the light source used during imaging may cause slight discomfort or a headache. To make you feel more comfortable, you can take breaks during testing.ÿ<br /></span></strong></p> <p><strong><span style=""font-weight: normal;"">Extremely rarely, the eye drops may cause serious reactions, including but not limited to acute glaucoma, increased blood pressure, fainting and allergic reactions. We do not anticipate any of these reactions will happen, but if you do experience any of these rare events during the course of the visit, we will seek out emergency medical attention for you.<br /></span></strong></p> <p><strong><span style=""text-decoration: underline;"">Blood Samples</span><span style=""font-weight: normal;""><br />During collection of the blood sample, you may experience mild discomfort or pain. Some people may develop bruising at the puncture site, feel dizzy or faint. Extremely rarely the puncture site may become infected, which could lead to hospitalization or death.<br /></span></strong></p> <p><strong><span style=""text-decoration: underline;"">Continuous Glucose Monitoring</span><span style=""font-weight: normal;""><br />Insertion of the CGM may cause bruising, pain, or infection at the insertion point. If the CGM is uncomfortable, you may remove it early and return it to the study by mail.<br /></span></strong></p> <p><strong><span style=""text-decoration: underline;"">Confidentiality Breach</span><span style=""font-weight: normal;""><br />Although we make every effort to protect your information, a confidentiality breach is possible, but rare..</span></strong></p></div>",,,,,,,,,,,,,
icf_benefits,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>BENEFITS OF THE STUDY</u></strong><strong>:</strong></p> <p><span style=""font-weight: normal;"">Results of your blood and urine tests will be available for you to look up with your personal ID code in approximately 1 year. Please note that a doctor will not be reviewing the results of any test performed as part of this study. The results returned to you are not meant to replace any medical care you currently have planned or should receive in the future.</span></p> <p><span style=""font-weight: normal;"">The following will NOT be provided to you: vital signs, genetic testing data, ECG, environmental sensor data, fitness tracker data, CGM data, retinal imaging, questionnaires and cognitive testing results, results derived from samples left in a biorepository or data obtained in future research projects.ÿ</span></p></div>",,,,,,,,,,,,,
icf_funding,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>SOURCE OF FUNDING</u></strong><strong>:</strong></p> <p><span style=""font-weight: normal;"">The study team and the University of Washington is receiving funding for this study from the National Institutes of Health, grant number NIH OT2OD032644.</span></p></div>",,,,,,,,,,,,,
icf_confidentiality,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>CONFIDENTIALITY OF RESEARCH INFORMATION</u></strong><strong>:</strong></p> <p><span style=""font-weight: normal;"">All of the information you provide will be confidential. However, if we learn that you intend to harm yourself or others, we must report that to the authorities.<br /></span></p> <p><span style=""font-weight: normal;"">Government or university staff sometimes review studies such as this one to make sure they are being done safely and legally. ÿIf a review of this study takes place, your records may be examined. The reviewers will protect your privacy. ÿThe study records will not be used to put you at legal risk of harm.<br /></span></p> <p><span style=""font-weight: normal;"">Your participation in this study will be noted in your UW medical record.<br /></span></p> <p><span style=""font-weight: normal;"">We have a Certificate of Confidentiality from the National Institutes of Health. This helps us protect your privacy. The Certificate means that we do not have to give out information, documents, or samples that could identify you even if we are asked to by a court of law. We will use the Certificate to resist any demands for identifying information. ÿ<br /></span></p> <p><span style=""font-weight: normal;"">We can't use the Certificate to withhold your research information if you give your written consent to give it to an insurer, employer, or other person. Also, you or a member of your family can share information about yourself or your part in this research if you wish.</span></p> <p><span style=""font-weight: normal;"">There are some limits to this protection. We will voluntarily provide the information to:</span></p> <ul> <li><span style=""font-weight: normal;"">a member of the federal government who needs it in order to audit or evaluate the research;</span></li> <li><span style=""font-weight: normal;"">individuals at the institution(s) conducting the research, the funding agency, and other groups involved in the research, if they needÿ</span><br /><span style=""font-weight: normal;"">the information to make sure the research is being done correctly;</span></li> <li><span style=""font-weight: normal;"">the federal Food and Drug Administration (FDA), if required by the FDA;</span></li> <li><span style=""font-weight: normal;"">individuals who want to conduct additional research if allowed by federal regulations and according to your consent for future research use as described in this form;</span></li> <li><span style=""font-weight: normal;"">local and state authorities, if we learn of child abuse, elder abuse, or the intent to harm yourself or others.ÿ</span></li> </ul> <p><span style=""font-weight: normal;"">The Certificate expires when the NIH funding for this study ends. Currently this is August 31, 2027.ÿ Any data collected after expiration is <u>not</u> protected as described above. Data collected prior to expiration will continue to be protected.ÿ</span></p></div>",,,,,,,,,,,,,
icf_info_specimens,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>USE OF INFORMATION AND SPECIMENS</u></strong><strong>:</strong></p> <p><span style=""text-decoration: underline;"">Commercial Profit</span><span style=""font-weight: normal;""><br />The publicly available dataset will allow any company to potentially use your data for commercial gain. There is no plan to share any commercial profits with you.ÿ<br /></span></p> <p><span style=""text-decoration: underline;"">Genetic Sequencing</span><span style=""font-weight: normal;""><br />Samples collected from you will be used to test your genetic information. We will perform whole genome sequencing on your blood sample. Whole genome sequencing is a laboratory procedure that determines a precise DNA fingerprint. ÿThe precise DNA fingerprints from all the study participants can then be used to learn how genetics impact health and type 2 diabetes. ÿThe results of the whole genome sequencing will be released in a protected data set along with other protected health information for use in future research studies.<br /></span></p> <p><span style=""text-decoration: underline;"">Returning Results to You</span><span style=""font-weight: normal;""><br />Up to twelve months after your participation in the study, you will receive a unique identifier code. You will be able to look up your results from the blood and urine tests using this identifier code. There will be no interpretations provided for the test results, but you are able to download the results whenever you wish and discuss this with your medical provider. ÿ<br /></span></p> <p><span style=""text-decoration: underline;"">Using Your Data and Specimens in Future Research</span><span style=""font-weight: normal;""><br />The information and specimens that we obtain from you for this study might be used for future studies. We may remove anything that might identify you from the information and specimens. If we do so, that information and specimens may then be used for future research studies or given to another investigator without getting additional permission from you.ÿ<br /></span></p> <p><span style=""font-weight: normal;"">It is also possible that in the future we may want to use or share study information and specimens that might identify you. If we do, a review board will decide whether or not we need to get additional permission from you. By participating in this study, you are providing us the permission to contact you again regarding future studies.ÿ</span></p></div>",,,,,,,,,,,,,
icf_genomic,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>CONFIDENTIALITY OF RESEARCH INFORMATION</u></strong><strong>:</strong></p> <p><span style=""font-weight: normal;"">This study will involve whole genome sequencing. The National Institutes of Health (NIH) has developed data (information) banks that collect study data. ÿThe NIH will store your de-identified information in these data banks for other researchers to use in future studies on any topic. The researchers could be from government, academic, or commercial institutions.ÿ</span></p> <p><span style=""font-weight: normal;"">You will not receive any results related to your data to be placed in the NIH data banks.<br />You will not be able to withdraw your information after it has been submitted to the NIH data banks as it is not possible to guarantee retrieval of the information from all possible sources that had access to the data once it is released.<br /></span></p> <p><span style=""font-weight: normal;"">There is a small risk that others will be able to trace this information back to you or close biological relatives. The current risk of this happening is very small, but may grow in the future as new technologies are developed. If this should happen, someone might use this information to learn something about your health or genetic heritage. If linked to a medical condition and inappropriately shared with someone, it could affect your ability to get or keep some kinds of insurance. There is a possibility that this information could affect family members because certain conditions and traits run in families and are inherited through genes. This could hurt family or other relationships. There is a risk that your information could become known to the public, employers, or law enforcement agencies. The information may be used to enforce negative stereotypes. It is possible that your information could be used to identify you when combined with information from other public sources.<br /></span></p> <p><span style=""font-weight: normal;"">There may also be other risks that are not yet known.</span></p></div>",,,,,,,,,,,,,
icf_other_info,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>OTHER INFORMATION</u></strong><strong>:</strong></p> <p><span style=""font-weight: normal;"">You may refuse to participate, and you are free to withdraw from this study at any time without penalty or loss of benefits to which you are otherwise entitled. If you wish to withdraw, please contact the researcher listed on page 1 of this form. Once we receive the information, we will stop accessing any of the data or your medical records per study protocol as written in this consent but we will not be able to retrieve any data that has already been shared.ÿ<br /></span></p> <p><span style=""font-weight: normal;"">Participation in this study will not incur any charges to you or your insurance. We will cover up to $25 for your transportation or parking costs related to the study visit(s). Upon the successful completion of the In Person Study Visit, the At Home Study Participation and returning of all devices (the physical activity tracker, environmental sensor and the continuous glucose monitor) via mail, you will be paid $125 for your participation. It may take 2 weeks (or more) for you to receive your payment after you return the devices.<br /></span></p></div>",,,,,,,,,,,,,
icf_injury,consent_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>RESEARCH-RELATED INJURY</u>:</strong></p> <p><span style=""font-weight: normal;"">It is important that you promptly tell the researchers if you believe that you have been injured because of taking part in this study. You can tell the researcher in person or call them at the 24-hour number listed at the top of this form.ÿ<br /></span></p> <p><span style=""font-weight: normal;"">If you are injured as a result of being in this study, necessary medical treatment will be offered at a UW Medicine facility. The cost of the treatment may be billed to you or your health insurance just like other medical costs, or it may be covered by the UW's discretionary Human Subjects Assistance Program (HSAP), depending on a number of factors. The researcher may request HSAP coverage by following established procedures. If you wish to request HSAP coverage yourself, contact the researcher or the UW Human Subjects Division at hsdinfo@uw.edu or 206-543-0098. Ask the researcher if you would like information about the limits and conditions of the HSAP. The UW does not normally provide any other form of compensation for injury. However, the law may allow you to seek payment for injury-related expenses if they are caused by malpractice or the fault of the researchers. You do not waive any right to seek payment by signing this consent form..</span></p></div>",,,,,,,,,,,,,
icf_consent_statement,consent_survey,"<div class=""rich-text-field-label""><h6 class=""font-weight-bold text-uppercase text-center"">Consent</h6></div>",descriptive,"<div class=""rich-text-field-label""><p style=""font-size: 1.15em;""><strong><u>SUBJECT STATEMENT</u></strong><strong>:</strong></p> <p style=""tab-stops: 31.5pt;""><span style=""font-weight: normal;"">This study has been explained to me. I volunteer to take part in this research. I have had a chance to ask questions. If I have questions later about the research, or if I have been harmed by participating in this study, I can contact one of the researchers listed on the first page of this consent form. ÿIf I have questions about my rights as a research subject, I can call the Human Subjects Division at (206) 543-0098. I give permission to the researchers to use my medicalÿ</span></p></div>",,,,,,,,,,,,,
icf_consent,consent_survey,,radio,I have read this entire form and I agree to be in this study.,"1, Yes, I agree to participate | 0, No, I do not agree to participate",,,,,,[icf_nd(999)] = '0' and [c184390(1)] = '0' and [c184390_dat] = '',y,LV,,,,
icf_fname,consent_survey,,text,Your First Name,,,,,,y,[icf_consent] = '1',y,LV,,,,
icf_lname,consent_survey,,text,Your Last Name,,,,,,y,[icf_consent] = '1',y,LV,,,,
icf_sign,consent_survey,,file,Your Signature,,,signature,,,y,[icf_consent] = '1',y,LV,,,,
survey_timestamps_hdr_7,consent_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-secondary mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #666666;""><i class=""fas fa-clock"">ÿ</i> <strong>REDCap Survey Timestamps</strong></span></h6> </div> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
icfsvyts,consent_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Consent Survey Start Timestamp</span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-started:consent_survey]<> '', [survey-time-started:consent_survey],''))"
icfcmpts,consent_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i>Consent Survey Completed Timestamp</span></p></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY @CALCTEXT(if([survey-time-completed:consent_survey]<> '', [survey-time-completed:consent_survey],''))"
icfa_instructions,staff_consent_attestation_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-danger mb-0""> <h5 class=""font-weight-bold text-danger""><i class=""fas fa-exclamation-circle"">ÿ</i> <u>Study staff are required to complete this form as a survey</u></h5> <ul class=""mb-0 font-weight-normal""> <li class=""mt-2"">From the <em>Survey Options</em> drop-down at the top right of this form select, <em class=""text-danger"">Open Survey</em></li> <li class=""mt-2"">Complete the survey</li> <li class=""mt-2"">Complete certification step at the end of the survey</li> </ul> </div></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
icfa_version,staff_consent_attestation_survey,,text,Version,,,,,,,[is-survey] = '1' or [staff_consent_attestation_survey_complete] = '2',,LV,,,," @HIDDEN-SURVEY @HIDDEN-PDF @READONLY @IF([is-survey] = '1' or [staff_consent_attestation_survey_complete] = '2', @SETVALUE = '[icf_version]', '')"
icfa_part_info,staff_consent_attestation_survey,,descriptive,"<div class=""rich-text-field-label""><p>Participant: <span style=""font-weight: normal;"">[icf_fname] [icf_lname]</span></p> <p>Consent Date: <span style=""font-weight: normal;"">[survey-time-completed:consent_survey]</span></p></div>",,,,,,,[is-survey] = '1' or [staff_consent_attestation_survey_complete] = '2',,,,,,
icfa_attestation,staff_consent_attestation_survey,,checkbox,Consent Attestation,"1, I confirm [icf_fname] [icf_lname] gave consent.",,,,,y,[is-survey] = '1' or [icfa_attestation(1)] = '1',y,LV,,,,
icfa_dat,staff_consent_attestation_survey,,text,Date of Consent Attestation,,,date_mdy,,,y,[is-survey] = '1' or [icfa_dat] <> '',y,LV,,,,
icfa_fname,staff_consent_attestation_survey,,text,Study Staff First Name,,,,,,y,[is-survey] = '1' or [icfa_fname] <> '',y,LV,,,,
icfa_lname,staff_consent_attestation_survey,,text,Study Staff Last Name,,,,,,y,[is-survey] = '1' or [icfa_lname] <> '',y,LV,,,,
icfa_sign,staff_consent_attestation_survey,,file,Study Staff Signature,,,signature,,,y,[is-survey] = '1' or [icfa_sign] <> '',y,LV,,,,
icf_pdf,download_consent,,file,"<div class=""rich-text-field-label""><h6><span style=""color: #0f5132;""><i class=""fas fa-file-download"">ÿ</i> You can <strong>download your completed consent form</strong> by clicking on the link below.</span></h6></div>",,,,,,,,,LV,,,,
next_steps,download_consent,,descriptive,"<div class=""rich-text-field-label""><div class=""alert alert-success"" role=""alert""> <h6 class=""mt-2""><span style=""text-decoration: underline; font-weight: bold;"">NEXT STEPS</span></h6> <ul> <li><span style=""font-weight: normal;"">You will begin the study by </span>sharing contact information<span style=""font-weight: normal;"">.</span></li> <li><span style=""font-weight: normal;"">To complete this questionnaire, </span>click on the button below<span style=""font-weight: normal;"">, ""Next survey"".</span></li> </ul> </div></div>",,,,,,,,,,,,,
prtcmpdat,participant_contact_information_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Participant contact survey/form date <span style=""font-weight: normal;"">(date survey/form opened)</span></span></p></div>",,,date_mdy,,,,,,LV,,,, @HIDDEN-SURVEY @TODAY
crcid_prt,participant_contact_information_survey,,text,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-eye-slash"">ÿ</i> Interviewer Code</span></p></div>",,,,,,,[survey-time-completed:participant_contact_information_survey] = '',,LV,,,, @HIDDEN-SURVEY
parcon_nd,participant_contact_information_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #666666;""><i class=""fas fa-comment-slash"">ÿ</i> No participant response</span></p></div>","999, Participant contact survey not done",,,,,,[survey-time-completed:participant_contact_information_survey] = '',,LV,,,, @HIDDEN-SURVEY
prt_address,participant_contact_information_survey,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""alert alert-dark mb-0"" style=""padding-top: 0 !important; padding-bottom: 0 !important;"" role=""alert""> <h6 class=""mt-2""><span style=""color: #34495e;""><strong>Mailing Address</strong></span></h6> </div> </div></div>",,,,,,y,,,,,,,
prt_street,participant_contact_information_survey,,text,Street/PO Box,,,,,,y,[parcon_nd(999)] = '0',y,LV,,,,
prt_city,participant_contact_information_survey,,text,City,,,,,,y,[parcon_nd(999)] = '0',y,LV,,,,
