concept_name,SRC CODE,concept_code,vocabulary_id,domain_id,v6_domain_id,concept_class_id,standard_concept,valid_start_date,valid_end_date,invalid_reason
"How often would you say that you engage in diabetes health education? (Examples: consulting with a dietician, attending support groups, reading books on diabetes, using diabetes-focused websites, watching TV shows on health, or using health-focused apps on your phone or tablet)",dmledu,2005200307,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often do you inspect your feet?,dmlfeet,2005200308,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Which of the following options best describes you with respect to physician care and medications?,dmlmd,2005200309,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
At least 30 minutes daily 3 or more days a week,dmlvex_10,2005200312,AIREADI,Meas Value,,Answer,,1/1/1970,,
Less than 30 minutes daily less than 3 days a week,dmlvex_5,2005200313,AIREADI,Meas Value,,Answer,,1/1/1970,,
"Active (stairs, walks, housework)",dmlact_10,2005200314,AIREADI,Meas Value,,Answer,,1/1/1970,,
Somewhat active,dmlact_5,2005200315,AIREADI,Meas Value,,Answer,,1/1/1970,,
"Not Active (TV, computer, phone, use lifts)",dmlact_0,2005200316,AIREADI,Meas Value,,Answer,,1/1/1970,,
Doing daily or almost daily,dmlhex_10,2005200317,AIREADI,Meas Value,,Answer,,1/1/1970,,
Irregular; once or twice a week,dmlhex_5,2005200318,AIREADI,Meas Value,,Answer,,1/1/1970,,
Rarely eat sweets,dmlsugar_10,2005200319,AIREADI,Meas Value,,Answer,,1/1/1970,,
Occasionally eat sweets,dmlsugar_5,2005200320,AIREADI,Meas Value,,Answer,,1/1/1970,,
Frequently eat sweets,dmlsugar_0,2005200321,AIREADI,Meas Value,,Answer,,1/1/1970,,
Usually eat whole grain,dmlgrain_10,2005200322,AIREADI,Meas Value,,Answer,,1/1/1970,,
Rarely eat whole grain,dmlgrain_5,2005200323,AIREADI,Meas Value,,Answer,,1/1/1970,,
Usually eat white bread or white rice,dmlgrain_0,2005200324,AIREADI,Meas Value,,Answer,,1/1/1970,,
Eat small portions and avoid second servings,dmlpor_10,2005200325,AIREADI,Meas Value,,Answer,,1/1/1970,,
Occasionally limit portions,dmlpor_5,2005200326,AIREADI,Meas Value,,Answer,,1/1/1970,,
Rarely or none; eat at buffets and restaurants with large portions,dmlpor_0,2005200327,AIREADI,Meas Value,,Answer,,1/1/1970,,
4-5 servings or pieces of fruits and raw vegetables per day,dmlfrveg_10,2005200328,AIREADI,Meas Value,,Answer,,1/1/1970,,
1-3 servings or pieces per day,dmlfrveg_5,2005200329,AIREADI,Meas Value,,Answer,,1/1/1970,,
"Regularly; at least monthly (dietician, support groups, books, websites, apps)",dmledu_10,2005200330,AIREADI,Meas Value,,Answer,,1/1/1970,,
Occasionally; every 2-3 months,dmledu_5,2005200331,AIREADI,Meas Value,,Answer,,1/1/1970,,
3 or more visits a year to the same doctor. Regular with medicines.,dmlmd_10,2005200332,AIREADI,Meas Value,,Answer,,1/1/1970,,
1-2 visits a year. Forgetting medicines frequently.,dmlmd_5,2005200333,AIREADI,Meas Value,,Answer,,1/1/1970,,
Rarely or none. Not taking 1 or more recommended medicines,dmlmd_0,2005200334,AIREADI,Meas Value,,Answer,,1/1/1970,,
Mesopic LogMAR OD Score,viaodmscore,2005200336,AIREADI-Vision,Measurement,,Clinical Observation,,1/1/1970,,
Mesopic LogMAR OS Score,viaosmscore,2005200337,AIREADI-Vision,Measurement,,Clinical Observation,,1/1/1970,,
"OD: Value of final correct letter - Photopic, right eye",plcsodfcl,2005200338,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
"OD: Number of misses prior to stopping - Photopic, right eye",plcsodmiss,2005200339,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
"OS: Value of final correct letter - Photopic, left eye",plcsosfcl,2005200340,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
"OS: Number of misses prior to stopping - Photopic, left eye",plcsosmiss,2005200341,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
Cube drawings test,,2005200344,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Clock drawings test,,2005200345,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Animal name recall test,,2005200346,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Words correctly repeated test (1st trial),,2005200347,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Words correctly repeated test (2nd trial),,2005200348,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Repeating digits test,,2005200349,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Letter tapping test,,2005200350,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Serial 7 subtraction score,,2005200351,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Repeats sentences II test,,2005200352,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Verbal fluency letter test,,2005200353,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
MOCA abstraction test,,2005200354,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
MOCA delayed recall test,,2005200355,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
MOCA orientation test,,2005200356,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Age in years (3-4 year span),age_years_at_interview,2005200357,AIREADI-MOCA,Observation,,Observable Entity,,1/1/1970,,
MOCA delayed recall test combined,,2005200358,AIREADI-MOCA,Observation,,Qualifier Value,,1/1/1970,,
Other types of Dementia or Alzheimer's Disease,mhcat_dmtaot,2005200451,AIREADI,Observation,,Survey,,1/1/1970,,
Other cancer type please (specify),mhoccur_cnrot,2005200459,AIREADI,Observation,,Survey,,1/1/1970,,
Was your mother or father diagnosed with Type II Diabetes?,fh_dm2ptsp,2005200463,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"If yes, please check all that apply: brother, sister, half-sister, half-brother",fh_dm2sbsp,2005200464,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"Have you been diagnosed with any conditions not listed above? (any condition, not just eyes)",mhoccur_yn,2005200470,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Do you use marijuana now?,sumrjcdur,2005200473,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Do you speak another language at home?,pxep2,2005200480,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Medication Name,cmname,2005200481,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Specify other,odristate,2005200485,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"OD: Value of final correct letter - Mesopic, right eye",mlcsodfcl,2005200486,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
"OD: Number of misses prior to stopping - Mesopic, right eye",mlcsodmiss,2005200487,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
"OS: Value of final correct letter - Mesopic, left eye",mlcsosfcl,2005200488,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
"OS: Number of misses prior to stopping - Mesopic, left eye",mlcsosmiss,2005200489,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
"How often have you been treated unfairly by employers, bosses and supervisors because of your race/ethnic group? How often in the past year?",pxrd4,2005200493,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by employers, bosses and supervisors because of your race/ethnic group? How often in your entire life?",pxrd5,2005200494,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by employers, bosses and supervisors because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd6,2005200495,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by your co-workers, fellow students, and colleagues because of your race/ethnic group? How often in the past year?",pxrd7,2005200496,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by your co-workers, fellow students, and colleagues because of your race/ethnic group? How often in your entire life?",pxrd8,2005200497,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by your co-workers, fellow students, and colleagues because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pdrx9,2005200498,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by people in service jobs (by store clerks, waiters, bartenders, bank tellers and others) because of your race/ethnic group? How often in the past year?",pxrd10,2005200499,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by people in service jobs (by store clerks, waiters, bartenders, bank tellers and others) because of your race/ethnic group? How often in your entire life?",pxrd11,2005200500,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by people in service jobs (by store clerks, waiters, bartenders, bank tellers and others) because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd12,2005200501,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been treated unfairly by strangers because of your race/ethnic group? How often in the past year?,pxrd13,2005200502,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been treated unfairly by strangers because of your race/ethnic group? How often in your entire life?,pxrd14,2005200503,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by strangers because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd15,2005200504,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by people in helping jobs (by doctors, nurses, psychiatrists, case workers, dentists, school counselors, therapists, social workers and others) because of your race/ethnic group? How often in the past year?",pxrd16,2005200505,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by people in helping jobs (by doctors, nurses, psychiatrists, case workers, dentists, school counselors, therapists, social workers and others) because of your race/ethnic group? How often in your entire life?",pxrd17,2005200506,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by people in helping jobs (by doctors, nurses, psychiatrists, case workers, dentists, school counselors, therapists, social workers and others) because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd18,2005200507,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been treated unfairly by neighbors because of your race/ethnic group? How often in the past year?,pxrd19,2005200508,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been treated unfairly by neighbors because of your race/ethnic group? How often in your entire life?,pxrd20,2005200509,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by neighbors because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd21,2005200510,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by institutions (schools, universities, law firms, the police, the courts, the Department of Social Services, the Unemployment Office and others) because of your race/ethnic group? How often in the past year?",pxrd22,2005200511,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by institutions (schools, universities, law firms, the police, the courts, the Department of Social Services, the Unemployment Office and others) because of your race/ethnic group? How often in your entire life?",pxrd23,2005200512,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by institutions (schools, universities, law firms, the police, the courts, the Department of Social Services, the Unemployment Office and others) because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd24,2005200513,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been treated unfairly by people that you thought were your friends because of your race/ethnic group? How often in the past year?,pxrd25,2005200514,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been treated unfairly by people that you thought were your friends because of your race/ethnic group? How often in your entire life?,pxrd26,2005200515,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been treated unfairly by people that you thought were your friends because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd27,2005200516,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been accused or suspected of doing something wrong (such as stealing, cheating, not doing your share of the work, or breaking the law) because of your race/ethnic group? How often in the past year?",pxrd28,2005200517,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been accused or suspected of doing something wrong (such as stealing, cheating, not doing your share of the work, or breaking the law) because of your race/ethnic group? How often in your entire life?",pxrd29,2005200518,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been accused or suspected of doing something wrong (such as stealing, cheating, not doing your share of the work, or breaking the law) because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd30,2005200519,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have people misunderstood your intentions and motives because of your race/ethnic group? How often in the past year?,pxrd31,2005200520,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have people misunderstood your intentions and motives because of your race/ethnic group? How often in your entire life?,pxrd32,2005200521,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have people misunderstood your intentions and motives because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd33,2005200522,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often did you want to tell someone off for being racist towards you but didn't say anything? How often in the past year?,pxrd34,2005200523,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often did you want to tell someone off for being racist towards you but didn't say anything? How often in your entire life?,pxrd35,2005200524,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often did you want to tell someone off for being racist towards you but didn't say anything? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd36,2005200525,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been really angry about something racist that was done to you? How often in the past year?,pxrd37,2005200526,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been really angry about something racist that was done to you? How often in your entire life?,pxrd38,2005200527,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been really angry about something racist that was done to you? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd39,2005200528,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been forced to take drastic steps (such as filing a grievance, filing a lawsuit, quitting your job, moving away, and other actions) to deal with some racist thing that was done towards you? How often in the past year?",pxrd40,2005200529,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been forced to take drastic steps (such as filing a grievance, filing a lawsuit, quitting your job, moving away, and other actions) to deal with some racist thing that was done towards you? How often in your entire life?",pxrd41,2005200530,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been forced to take drastic steps (such as filing a grievance, filing a lawsuit, quitting your job, moving away, and other actions) to deal with some racist thing that was done towards you? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd42,2005200531,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been called a racist name? How often in the past year?,pxrd43,2005200532,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you been called a racist name? How often in your entire life?,pxrd44,2005200533,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been called a racist name? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd45,2005200534,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you gotten into an argument or a fight about something racist that was done to you or done to another member or your race/ethnic group? How often in the past year?,pxrd46,2005200535,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How often have you gotten into an argument or a fight about something racist that was done to you or done to another member or your race/ethnic group? How often in your entire life?,pxrd47,2005200536,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you gotten into an argument or a fight about something racist that was done to you or done to another member or your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd48,2005200537,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been made fun of, picked on, pushed, shoved, hit or threatened with harm because of your race/ethnic group? How often in the past year?",pxrd49,2005200538,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been made fun of, picked on, pushed, shoved, hit or threatened with harm because of your race/ethnic group? How often in your entire life?",pxrd50,2005200539,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How often have you been made fun of, picked on, pushed, shoved, hit or threatened with harm because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd51,2005200540,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How different would your life be now if you HAD NOT BEEN treated in a racist and unfair way? In the Past Year?,pxrd52,2005200541,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
How different would your life be now if you HAD NOT BEEN treated in a racist and unfair way? In your entire life?,pxrd53,2005200542,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"How different would your life be now if you HAD NOT BEEN treated in a racist and unfair way? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",pxrd54,2005200543,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Elevated A1C levels (elevated blood sugars),mh_a1c,2005200547,AIREADI,Condition,survey_conduct,Disorder,,1/1/1970,,
"Do you take pills to control your A1C and blood glucose levels? Examples: Metformin (Glucophage, Glumetza, Fortamet, Riomet), Glucotrol, Amaryl, DiaBeta, Blynase PresTab, Micronase, Actos, Avandia, Precose, Glyset, Prandin, Starlix, Januvia, Onglyza, Tradjenta, Nesina, Invokana, Farxiga, Jardiance, Welchol, and Cyclocet",cmtrt_a1c,2005200548,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Do you inject insulin to control your blood glucose levels?,cmtrt_insln,2005200549,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"Do you use other injections to control your blood glucose levels?  Examples: Victoza, Ozempic, Symlin, Tanzeum, and Trulicity",cmtrt_glcs,2005200550,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"OD: Log Contrast Sensitivity - Mesopic, right eye",mlcsodlog,2005200552,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
"OS: Log Contrast Sensitivity - Mesopic, left eye",mlcsoslog,2005200553,AIREADI-Vision,Measurement,,Measurement,,1/1/1970,,
Activity monitor returned?,dvamwenyn,2005200555,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
"What is your ancestry or ethnic origin?(Examples: Italian, Jamaican, African American, Cambodian, Cape Verdean, Cherokee, Navajo, Nez Pearce, Norwegian, Dominican, French Canadian, Haitian, Korean, Lebanese, Polish, Nigerian, Mexican, Taiwanese, Ukrainian, and so on.)",ancestry,2005200557,AIREADI,Observation,survey_conduct,Survey,,1/1/1970,,
Survey Started Timestamp,,2005200558,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Survey Completed Timestamp,,2005200559,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Survey Date,,2005200560,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Recruitment Survey,,2005200561,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
FAQ Survey,,2005200562,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Screening Survey,,2005200563,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Pre-consent Survey,,2005200564,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Consent Survey,,2005200565,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Participant Contact Survey,,2005200566,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Demographic Survey,,2005200567,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Health Survey,,2005200568,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Substance Use Survey,,2005200569,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
CES-D-10 Survey,,2005200570,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PAID-5 DM Survey,,2005200571,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Diabetes Survey,,2005200572,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Dietary Survey,,2005200573,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Ophthalmic Survey,,2005200574,AIREADI-Vision,Observation,,Qualifier Value,,1/1/1970,,
PhenX SDOH Survey,,2005200575,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX English Proficiency Survey,,2005200576,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Education Attainment Survey,,2005200577,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Job Security Survey,,2005200578,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Housing Insecurity Survey,,2005200579,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Prescriptions Affordability Survey,,2005200580,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Health Insurance Survey,,2005200581,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Health Care Access Survey,,2005200582,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Healthcare Discrimination Survey,,2005200583,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Food Insecurity Survey,,2005200584,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Neighborhood Environment Survey,,2005200585,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
PhenX Racial/Ethnic Survey,,2005200586,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Paper Consent Completed,,2005200587,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Consent Attestation,,2005200588,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Device returned,,2005200589,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Driving record assessment conducted,,2005200590,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Device given to participant,,2005200591,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Sensor inserted,,2005200592,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Medications assessment conducted,,2005200593,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Current medication collected,,2005200594,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Fundus - Edion,,2005200595,AIREADI-Vision,Observation,,Qualifier Value,,1/1/1970,,
Fundus - Optomed,,2005200596,AIREADI-Vision,Observation,,Qualifier Value,,1/1/1970,,
OCT & OCTA - Spectralis HRA OCT,,2005200597,AIREADI-Vision,Observation,,Qualifier Value,,1/1/1970,,
OCT - Triton OCT,,2005200598,AIREADI-Vision,Observation,,Qualifier Value,,1/1/1970,,
OCT & OCTA - Maestro2,,2005200599,AIREADI-Vision,Observation,,Qualifier Value,,1/1/1970,,
FLIO,,2005200600,AIREADI-Vision,Observation,,Qualifier Value,,1/1/1970,,
Angioplex - Cirrus 5000,,2005200601,AIREADI-Vision,Observation,,Qualifier Value,,1/1/1970,,
Cardiology - EKG - Pagewriter TC30 Cardiograp,,2005200602,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
clinical labs,,2005200603,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
device received back from participant,,2005200604,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 1,,2005200605,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 2,,2005200606,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 3,,2005200607,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 4,,2005200608,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 5,,2005200609,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 6,,2005200610,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 7,,2005200611,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 8,,2005200612,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 9,,2005200613,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Right foot - site 10,,2005200614,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 1,,2005200615,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 2,,2005200616,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 3,,2005200617,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 4,,2005200618,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 5,,2005200619,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 6,,2005200620,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 7,,2005200621,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 8,,2005200622,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 9,,2005200623,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Left foot - site 10,,2005200624,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
AI-READI study discontinuation or completion,,2005200625,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
Assessment,,2005200626,AIREADI,Observation,,Qualifier Value,,1/1/1970,,
"Other heart issues (Examples: pacemaker, heart valve disease, open heart surgery)",,2005200627,AIREADI,Condition,,Disorder,,1/1/1970,,
Stroke,,2005200628,AIREADI,Condition,,Disorder,,1/1/1970,,
"Have you had anything to eat or drink in the last six hours, including coffee or tea with milk or sugar or any other drink other than water?",,2005200629,AIREADI,Observation,,Survey,,1/1/1970,,
