Map_to_OMOP,Protected_or_open-source,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,temp_Question_or_Answer,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_CONCEPT_CODE,TARGET_STANDARD_CONCEPT,PREDICATE_ID,CONFIDENCE,MODIFIER,value_as_concept_id,qualifier_concept_id,qualifier_source_value
Yes,open-source,px_neighborhood_environment_survey,text,,1325,Question,pxnecmpdat,,PhenX Neighborhood Enviroment survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,398166005,S,skos:closeMatch,0.75,PhenX Neighborhood Enviroment survey date,,2005200585,PhenX Neighborhood Environment Survey
Yes,open-source,px_neighborhood_environment_survey,text,,1345,Question,pxnestartts,,PhenX Neighborhood Enviroment Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,,S,skos:exactMatch,1,PhenX Neighborhood Enviroment Survey Started Timestamp (from REDCap),,2005200585,PhenX Neighborhood Environment Survey
Yes,open-source,px_neighborhood_environment_survey,text,,1346,Question,pxnecmpts,,PhenX Neighborhood Environment Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,,S,skos:exactMatch,1,PhenX Neighborhood Environment Survey Completed Timestamp (from REDCap),,2005200585,PhenX Neighborhood Environment Survey
Yes,open-source,px_neighborhood_environment_survey,text,,1347,Question,px291201_metadata,,PhenX Neighborhood Environment MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Neighborhood Environment MetaData,,2005200585,PhenX Neighborhood Environment Survey
Yes,open-source,px_racial_ethnic_discrimination_survey,text,,1348,Question,pxrdcmpdat,,PhenX Racial/Ethnic Discrimination survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,398166005,S,skos:closeMatch,0.75,PhenX Racial/Ethnic Discrimination survey date,,2005200586,PhenX Racial/Ethnic Survey
Yes,open-source,px_racial_ethnic_discrimination_survey,text,,1405,Question,pxrdcmpts,,PhenX Racial/Ethnic Discrimination Survey Completed Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,118575009,S,skos:exactMatch,1,PhenX Racial/Ethnic Discrimination Survey Completed Timestamp (from REDCap),,2005200586,PhenX Racial/Ethnic Survey
Yes,open-source,px_racial_ethnic_discrimination_survey,text,,1406,Question,pxrdstartts,,PhenX Racial/Ethnic Discrimination Survey Started Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,118575009,S,skos:exactMatch,1,PhenX Racial/Ethnic Discrimination Survey Started Timestamp (from REDCap),,2005200586,PhenX Racial/Ethnic Survey
Yes,open-source,px_racial_ethnic_discrimination_survey,text,,1407,Question,px281501_metadata,,PhenX Racial/Ethnic MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Racial/Ethnic MetaData,,2005200586,PhenX Racial/Ethnic Survey
Yes,open-source,px_sdoh_combined_survey,text,,1262,Question,pxsdohcmpdat,,PhenX SDOH survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,398166005,S,skos:closeMatch,0.75,PhenX SDOH survey date,,2005200575,PhenX SDOH Survey
Yes,open-source,px_sdoh_combined_survey,text,,1303,Question,pxsdohstartts,,PhenX SDOH Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,118575009,S,skos:closeMatch,0.75,PhenX SDOH Survey Started Timestamp (from REDCap),,2005200575,PhenX SDOH Survey
Yes,open-source,px_sdoh_combined_survey,text,,1304,Question,pxsdohcmpts,,PhenX SDOH Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,118575009,S,skos:closeMatch,0.75,PhenX SDOH Survey Completed Timestamp (from REDCap),,2005200575,PhenX SDOH Survey
Yes,open-source,px_sdoh_combined_survey,text,,1305,Question,px270201_metadata,,PhenX English Proficiency MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX English Proficiency MetaData,,2005200576,PhenX English Proficiency Survey
Yes,open-source,px_sdoh_combined_survey,text,,1306,Question,px011002_metadata,,PhenX Education Attainment MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Education Attainment MetaData,,2005200577,PhenX Education Attainment Survey
Yes,open-source,px_sdoh_combined_survey,text,,1307,Question,px280301_metadata,,PhenX Job Security MetaData ,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Job Security MetaData ,,2005200578,PhenX Job Security Survey
Yes,open-source,px_sdoh_combined_survey,text,,1308,Question,px281401_metadata,,PhenX Housing Insecurity MetaData ,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Housing Insecurity MetaData ,,2005200579,PhenX Housing Insecurity Survey
Yes,open-source,px_sdoh_combined_survey,text,,1309,Question,px280801_metadata,,PhenX Prescriptions Affordability MetaData ,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Prescriptions Affordability MetaData ,,2005200580,PhenX Prescriptions Affordability Survey
Yes,open-source,px_sdoh_combined_survey,text,,1310,Question,px11502_metadata,,PhenX Health Insurance MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Health Insurance MetaData,,2005200581,PhenX Health Insurance Survey
Yes,open-source,px_sdoh_combined_survey,text,,1311,Question,px270101_metadata,,PhenX Health Care Access MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Health Care Access MetaData,,2005200582,PhenX Health Care Access Survey
Yes,open-source,px_sdoh_combined_survey,text,,1312,Question,px280901_metadata,,PhenX Healthcare Discrimination MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,,S,skos:exactMatch,1,PhenX Healthcare Discrimination MetaData,,2005200583,PhenX Healthcare Discrimination Survey
Yes,open-source,recruitment_survey,text,,1029,Question,recstartts,,Recruitment Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,118575009,S,skos:closeMatch,0.75,Recruitment Survey Started Timestamp (from REDCap),,2005200561,Recruitment Survey
Yes,open-source,recruitment_survey,text,,1030,Question,reccmpts,,Recruitment Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,118575009,S,skos:closeMatch,0.75,Recruitment Survey Completed Timestamp (from REDCap),,2005200561,Recruitment Survey
Yes,open-source,retinal_imaging_v2,text,rt_dat,,Question,rt_dat,,Assessment Date,4260905,,Date,Observation,SNOMED,Qualifier Value,410672004,S,skos:exactMatch,1,Assessment Date,,2005200626,Assessment
Yes,open-source,retinal_imaging_v2,yesno,rtop_odd,,Answer,1,rtop_odd_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtop_odd,,Answer,0,rtop_odd_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtop_odm,,Answer,1,rtop_odm_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtop_odm,,Answer,0,rtop_odm_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtei_odir,,Answer,1,rtei_odir_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtei_odir,,Answer,0,rtei_odir_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtei_odfaf,,Answer,1,rtei_odfaf_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtei_odfaf,,Answer,0,rtei_odfaf_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_odc,,Answer,1,rtsm_odc_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_odc,,Answer,0,rtsm_odc_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_odn,,Answer,1,rtsm_odn_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_odn,,Answer,0,rtsm_odn_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_odt,,Answer,1,rtsm_odt_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_odt,,Answer,0,rtsm_odt_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_odm,,Answer,1,rtsm_odm_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_odm,,Answer,0,rtsm_odm_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_odo,,Answer,1,rtso_odo_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_odo,,Answer,0,rtso_odo_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_odp,,Answer,1,rtso_odp_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_odp,,Answer,0,rtso_odp_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_odm,,Answer,1,rtso_odm_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_odm,,Answer,0,rtso_odm_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_odm1,,Answer,1,rtci_odm1_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_odm1,,Answer,0,rtci_odm1_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_odd1,,Answer,1,rtci_odd1_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_odd1,,Answer,0,rtci_odd1_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_odm2,,Answer,1,rtci_odm2_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_odm2,,Answer,0,rtci_odm2_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_odd2,,Answer,1,rtci_odd2_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_odd2,,Answer,0,rtci_odd2_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_odw,,Answer,1,rtma_odw_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_odw,,Answer,0,rtma_odw_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_odm,,Answer,1,rtma_odm_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_odm,,Answer,0,rtma_odm_2,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_odm1,,Answer,1,rtma_odm1_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_odm1,,Answer,0,rtma_odm1_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_odr,,Answer,1,rttr_odr_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_odr,,Answer,0,rttr_odr_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_odm1,,Answer,1,rttr_odm1_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_odm1,,Answer,0,rttr_odm1_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_odm2,,Answer,1,rttr_odm2_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_odm2,,Answer,0,rttr_odm2_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtfl_od,,Answer,1,rtfl_od_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtfl_od,,Answer,0,rtfl_od_2,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,right eye|45876703,,45876703,Right eye
Yes,open-source,retinal_imaging_v2,yesno,rtop_osd,,Answer,1,rtop_osd_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtop_osd,,Answer,0,rtop_osd_2,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtop_osm,,Answer,1,rtop_osm_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtop_osm,,Answer,0,rtop_osm_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtei_osir,,Answer,1,rtei_osir_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtei_osir,,Answer,0,rtei_osir_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtei_osfaf,,Answer,1,rtei_osfaf_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtei_osfaf,,Answer,0,rtei_osfaf_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_osc,,Answer,1,rtsm_osc_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_osc,,Answer,0,rtsm_osc_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_osn,,Answer,1,rtsm_osn_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_osn,,Answer,0,rtsm_osn_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_ost,,Answer,1,rtsm_ost_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_ost,,Answer,0,rtsm_ost_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_osm,,Answer,1,rtsm_osm_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtsm_osm,,Answer,0,rtsm_osm_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_oso,,Answer,1,rtso_oso_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_oso,,Answer,0,rtso_oso_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_osp,,Answer,1,rtso_osp_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_osp,,Answer,0,rtso_osp_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_osm,,Answer,1,rtso_osm_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtso_osm,,Answer,0,rtso_osm_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_osm1,,Answer,1,rtci_osm1_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_osm1,,Answer,0,rtci_osm1_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_osd1,,Answer,1,rtci_osd1_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_osd1,,Answer,0,rtci_osd1_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_osm2,,Answer,1,rtci_osm2_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_osm2,,Answer,0,rtci_osm2_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_osd2,,Answer,1,rtci_osd2_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtci_osd2,,Answer,0,rtci_osd2_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_osw,,Answer,1,rtma_osw_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_osw,,Answer,0,rtma_osw_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_osm,,Answer,1,rtma_osm_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_osm,,Answer,0,rtma_osm_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_osm1,,Answer,1,rtma_osm1_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtma_osm1,,Answer,0,rtma_osm1_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_osr,,Answer,1,rttr_osr_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_osr,,Answer,0,rttr_osr_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_osm1,,Answer,1,rttr_osm1_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_osm1,,Answer,0,rttr_osm1_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_osm2,,Answer,1,rttr_osm2_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rttr_osm2,,Answer,0,rttr_osm2_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtfl_os,,Answer,1,rtfl_os_1,Yes,45877994,,Yes,Meas Value,LOINC,Answer,LA33-6,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,retinal_imaging_v2,yesno,rtfl_os,,Answer,0,rtfl_os_0,No,45878245,,No,Meas Value,LOINC,Answer,LA32-8,S,skos:exactMatch,1,left eye|45883829,,45883829,Left eye
Yes,open-source,screening_survey,text,,1037,Question,scrcmpdat,,Screening survey date (date survey/form opened),4160030,,Performed,Observation,SNOMED,Qualifier Value,398166005,S,skos:closeMatch,0.75,Screening survey date (date survey/form opened),,2005200563,Screening Survey
Yes,open-source,screening_survey,yesno,,1042,Question,mh_a1c,,Elevated A1C levels (elevated blood sugars),2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,2005200547,,2005200547,Elevated A1C levels (elevated blood sugars)
Yes,open-source,screening_survey,yesno,,1043,Question,mhterm_dm2,,Type II Diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,201826,,201826,Type 2 diabetes mellitus
Yes,open-source,screening_survey,yesno,,1045,Question,mhterm_predm,,Pre-diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,37018196,,37018196,Prediabetes
Yes,open-source,screening_survey,text,,1060,Question,scrstartts,,Screening Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,118575009,S,skos:closeMatch,0.75,Screening Survey Started Timestamp (from REDCap),,2005200563,Screening Survey
