Map_to_OMOP,Protected_or_open-source,FORM_NAME,FIELD_TYPE,FIELD_ID,FIELD_ID_NUM,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE,PREDICATE_ID,CONFIDENCE,MODIFIER,qualifier_concept_id,qualifier_source_value,NOTES
Yes,open-source,px_sdoh_combined_survey,radio,,1279,pxhic3,,"Medicare, for people 65 and older, or people with certain disabilities.",2005200083,2005200083,"Medicare, for people 65 and older, or people with certain disabilities.",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,63066-5
Yes,open-source,px_sdoh_combined_survey,radio,,1280,pxhic4,,"Medicaid, Medical Assistance (MA), the Children's Health Insurance Program (CHIP), or any kind of state or government-sponsored assistance. plan based on income or a disability.",2005200084,2005200084,"Medicaid, Medical Assistance (MA), the Children's Health Insurance Program (CHIP), or any kind of state or government-sponsored assistance. plan based on income or a disability.",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,63066-5
Yes,open-source,px_sdoh_combined_survey,radio,,1281,pxhic5,,"TRICARE or other military health care, including VA health care.",2005200085,2005200085,"TRICARE or other military health care, including VA health care.",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,63066-5
Yes,protected,px_sdoh_combined_survey,radio,,1282,pxhic6,,Indian Health Service.,2005200086,2005200086,Indian Health Service.,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,63066-5
Yes,open-source,px_sdoh_combined_survey,radio,,1283,pxhic7,,Any other type of health insurance coverage or health coverage plan,2005200087,2005200087,Any other type of health insurance coverage or health coverage plan,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,63066-5
Yes,open-source,px_sdoh_combined_survey,radio,,1284,pxhic8,,"Does this mean you currently have no health insurance or health coverage plan? In answering this question, please exclude plans that pay for only one type of service (such as, nursing home care, accidents, family planning, or dental care) and plans that only provide extra cash when hospitalized).",2005200088,2005200088,"Does this mean you currently have no health insurance or health coverage plan? In answering this question, please exclude plans that pay for only one type of service (such as, nursing home care, accidents, family planning, or dental care) and plans that only provide extra cash when hospitalized).",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,63066-5
Yes,protected,px_sdoh_combined_survey,text,,1285,pxhic9,,What type of health insurance do you have?,2005200089,2005200089,What type of health insurance do you have?,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,63066-5
Yes,open-source,px_sdoh_combined_survey,radio,,1286,pxahc1,,About how long has it been since you last saw a doctor or other health care professional about your health?,2005200090,2005200090,About how long has it been since you last saw a doctor or other health care professional about your health?,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,840643003
Yes,open-source,px_sdoh_combined_survey,radio,,1287,pxahc2,,"Was this a wellness visit, physical, or general purpose check-up?",2005200091,2005200091,"Was this a wellness visit, physical, or general purpose check-up?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1288,pxahc3,,"About how long has it been since you last saw a doctor or other health professional for a wellness visit, physical, or general purpose check-up?",2005200092,2005200092,"About how long has it been since you last saw a doctor or other health professional for a wellness visit, physical, or general purpose check-up?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1289,pxahc4,,Is there a place that you USUALLY go to if you are sick and need health care? ,2005200093,2005200093,Is there a place that you USUALLY go to if you are sick and need health care? ,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1290,pxahc5,,"What kind of place is it/do you go to most often? A doctor's office or health center is a place where you see the same doctor or the same group of doctors every visit, where you usually need to make an appointment ahead of time, and where your medical records are on file.Urgent care centers and clinics in a drug store or grocery store are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit.",2005200094,2005200094,"What kind of place is it/do you go to most often? A doctor's office or health center is a place where you see the same doctor or the same group of doctors every visit, where you usually need to make an appointment ahead of time, and where your medical records are on file.Urgent care centers and clinics in a drug store or grocery store are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit.",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,dropdown,,1291,pxahc6,,"During the past 12 months, how many times have you gone to an urgent care center or a clinic in a drug store or grocery store about your health?Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.",2005200095,2005200095,"During the past 12 months, how many times have you gone to an urgent care center or a clinic in a drug store or grocery store about your health?Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,dropdown,,1292,pxahc7,,"During the past 12 months, how many times have you gone to a hospital emergency room about your health?  *This includes emergency room visits that resulted in a hospital admission.",2005200096,2005200096,"During the past 12 months, how many times have you gone to a hospital emergency room about your health?  *This includes emergency room visits that resulted in a hospital admission.",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1293,pxahc8,,"During the past 12 months, have you been hospitalized overnight? (Do not include an overnight stay in the emergency room)",2005200097,2005200097,"During the past 12 months, have you been hospitalized overnight? (Do not include an overnight stay in the emergency room)",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1294,pxahc9,,"During the past 12 months, have you DELAYED getting medical care because of the cost?",2005200098,2005200098,"During the past 12 months, have you DELAYED getting medical care because of the cost?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1295,pxahc10,,"During the past 12 months, was there any time when you needed medical care, but DID NOT GET IT because of the cost?",2005200099,2005200099,"During the past 12 months, was there any time when you needed medical care, but DID NOT GET IT because of the cost?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1296,pxdhc1,,You are treated with less courtesy than other people.,40770200,,You have been treated with less courtesy than other people [PhenX],Observation,LOINC,Clinical Observation,S,67586-8,skos:closeMatch,0.75,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1297,pxdhc2,,You are treated with less respect than other people.,40770201,,You have been treated with less respect than other people [PhenX],Observation,LOINC,Clinical Observation,S,67587-6,skos:closeMatch,0.75,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1298,pxdhc3,,You receive poorer service than others.,40192503,,How often do you receive poorer service than others when you go to a doctor's office or other health care provider?,Observation,PPI,Question,S,sdoh_dms_3,skos:closeMatch,0.75,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1299,pxdhc4,,A doctor or nurse acts as if he or she thinks you are not smart.,40192505,,How often does a doctor or nurse act as if he or she thinks you are not smart when you go to a doctor's office or other health care provider?,Observation,PPI,Question,S,sdoh_dms_4,skos:closeMatch,0.75,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1300,pxdhc5,,A doctor or nurse acts as if he or she is afraid of you.,40192423,,How often does a doctor or nurse act as if he or she is afraid of you when you go to a doctor's office or other health care provider?,Observation,PPI,Question,S,sdoh_dms_5,skos:closeMatch,0.75,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1301,pxdhc6,,A doctor or nurse acts as if he or she is better than you.,40192383,,How often does a doctor or nurse act as if he or she is better than you when you go to a doctor's office or other health care provider?,Observation,PPI,Question,S,sdoh_dms_7,skos:closeMatch,0.75,,,,
Yes,open-source,px_sdoh_combined_survey,radio,,1302,pxdhc7,,You feel like a doctor or nurse is not listening to what you were saying,40192394,,How often do you feel like a doctor or nurse is not listening to what you were saying. when you go to a doctor's office or other health care provider?,Observation,PPI,Question,S,sdoh_dms_6,skos:closeMatch,0.75,,,,
Yes,open-source,px_sdoh_combined_survey,text,,1303,pxsdohstartts,,PhenX SDOH Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,PhenX SDOH Survey Started Timestamp (from REDCap),2005200575,PhenX SDOH Survey,99423-6
Yes,open-source,px_sdoh_combined_survey,text,,1304,pxsdohcmpts,,PhenX SDOH Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:closeMatch,0.75,PhenX SDOH Survey Completed Timestamp (from REDCap),2005200575,PhenX SDOH Survey,99423-6
Yes,open-source,px_sdoh_combined_survey,text,,1305,px270201_metadata,,PhenX English Proficiency MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX English Proficiency MetaData,2005200576,PhenX English Proficiency Survey,
Yes,open-source,px_sdoh_combined_survey,text,,1306,px011002_metadata,,PhenX Education Attainment MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Education Attainment MetaData,2005200577,PhenX Education Attainment Survey,
Yes,open-source,px_sdoh_combined_survey,text,,1307,px280301_metadata,,PhenX Job Security MetaData ,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Job Security MetaData ,2005200578,PhenX Job Security Survey,
Yes,open-source,px_sdoh_combined_survey,text,,1308,px281401_metadata,,PhenX Housing Insecurity MetaData ,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Housing Insecurity MetaData ,2005200579,PhenX Housing Insecurity Survey,
Yes,open-source,px_sdoh_combined_survey,text,,1309,px280801_metadata,,PhenX Prescriptions Affordability MetaData ,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Prescriptions Affordability MetaData ,2005200580,PhenX Prescriptions Affordability Survey,
Yes,open-source,px_sdoh_combined_survey,text,,1310,px11502_metadata,,PhenX Health Insurance MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Health Insurance MetaData,2005200581,PhenX Health Insurance Survey,
Yes,open-source,px_sdoh_combined_survey,text,,1311,px270101_metadata,,PhenX Health Care Access MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Health Care Access MetaData,2005200582,PhenX Health Care Access Survey,
Yes,open-source,px_sdoh_combined_survey,text,,1312,px280901_metadata,,PhenX Healthcare Discrimination MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Healthcare Discrimination MetaData,2005200583,PhenX Healthcare Discrimination Survey,
Yes,open-source,px_food_insecurity_survey,text,,1313,pxsficmpdat,,PhenX Food Insecurity survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PhenX Food Insecurity survey date,2005200584,PhenX Food Insecurity Survey,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),px_food_insecurity_survey,text,,1314,pxfi_crcid,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,px_food_insecurity_survey,checkbox,,1315,pxfi_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
Yes,open-source,px_food_insecurity_survey,radio,,1316,pxfi1,,"The first statement is, ""The food that (I/we) bought just didn't last, and (I/we) didn't have money to get more."" Was that often, sometimes, or never true for (you/your household) in the last 12 months?",36306143,,Within the past 12 months the food we bought just didn't last and we didn't have money to get more [U.S. FSS],Observation,LOINC,Survey,S,88123-5,skos:exactMatch,1,,,,
Yes,open-source,px_food_insecurity_survey,radio,,1317,pxfi2,,"""(I/we) couldn't afford to eat balanced meals."" Was that often, sometimes, or never true for (you/your household) in the last 12 months?",36660487,,"In the last 12 months, we couldn't afford to eat balanced meals [U.S. FSS]",Observation,LOINC,Survey,S,95248-1,skos:exactMatch,1,,,,
Yes,open-source,px_food_insecurity_survey,radio,,1318,pxfi3,,"In the last year, did you and/or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?",36660433,,"In the last 12 months, did you ever cut the size of your meals or skip meals because there wasn't enough money for food [U.S. FSS]",Observation,LOINC,Survey,S,95249-9,skos:exactMatch,1,,,,
Yes,open-source,px_food_insecurity_survey,radio,,1319,food_insecurity_change_diet_frequency,,"How often did this happen - almost every month, some months but not every month, or in only 1 or 2 months?",36660018,,"In the last 12 months, how often did you cut the size of your meals or skip meals because there wasn't enough money for food [U.S. FSS]",Observation,LOINC,Survey,S,95250-7,skos:closeMatch,1,,,,
Yes,open-source,px_food_insecurity_survey,radio,,1320,pxfi4,,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money to buy food?",36659800,,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food [U.S. FSS]",Observation,LOINC,Survey,S,95251-5,skos:exactMatch,1,,,,
Yes,open-source,px_food_insecurity_survey,radio,,1321,pxfi5,,"In the last 12 months, were you ever hungry but didn't eat because you couldn't afford enough food?",36660509,,"In the last 12 months, were you ever hungry but didn't eat because there wasn't enough money for food [U.S. FSS]",Observation,LOINC,Survey,S,95252-3,skos:exactMatch,1,,,,
Yes,open-source,px_food_insecurity_survey,text,,1322,pxfistartts,,PhenX Food Insecurity Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:exactMatch,1,PhenX Food Insecurity Survey Started Timestamp (from REDCap),2005200584,PhenX Food Insecurity Survey,99423-6
Yes,open-source,px_food_insecurity_survey,text,,1323,pxsficmpts,,PhenX Food Insecurity Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,118575009,skos:exactMatch,1,PhenX Food Insecurity Survey Completed Timestamp (from REDCap),2005200584,PhenX Food Insecurity Survey,99423-6
Yes,open-source,px_food_insecurity_survey,text,,1324,px270301_metadata,,PhenX MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Food Insecurity MetaData,2005200584,PhenX Food Insecurity Survey,
Yes,open-source,px_neighborhood_environment_survey,text,,1325,pxnecmpdat,,PhenX Neighborhood Enviroment survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PhenX Neighborhood Enviroment survey date,2005200585,PhenX Neighborhood Environment Survey,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),px_neighborhood_environment_survey,text,,1326,pxne_crcid,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,px_neighborhood_environment_survey,checkbox,,1327,pxne_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
Yes,open-source,px_neighborhood_environment_survey,radio,,1328,pxne1,,What is the main type of housing in your neighborhood?,40769029,,What is the main type of housing in your neighborhood [PhenX],Observation,LOINC,Clinical Observation,S,66356-7,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1329,pxne2,,"Many shops, stores, markets or other places to buy things I need are within easy walking distance of my home. Would you say that you...",40769030,,"Many shops, stores, markets, or other places to buy things I need are within easy walking distance of my home [PhenX]",Observation,LOINC,Clinical Observation,S,66357-5,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1330,pxne3,,"It is within a 10-15 minute walk to a transit stop (such as bus, train, trolley, or tram) from my home. Would you say that you...",40769031,,"It is within a 10-15 minute walk to a transit stop, such as bus, train, trolley, or tram, from my home [PhenX]",Observation,LOINC,Clinical Observation,S,66358-3,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1331,pxne4,,There are sidewalks on most of the streets in my neighborhood. Would you say that you...,40769032,,There are sidewalks on most of the streets in my neighborhood [PhenX],Observation,LOINC,Clinical Observation,S,66359-1,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1332,pxne5,,"There are facilities to bicycle in or near my neighborhood, such as special lanes, separate paths or trails, shared use paths for cycles and pedestrians. Would you say that you...",40769033,,"There are facilities to bicycle in or near my neighborhood, such as special lanes, separate paths or trails, shared use paths for cycles and pedestrians [PhenX]",Observation,LOINC,Clinical Observation,S,66360-9,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1333,pxne6,,"My neighborhood has several free or low cost recreation facilities, such as parks, walking trails, bike paths, recreation centers, playgrounds, public swimming pools, etc. Would you say that you...",40769034,,"My neighborhood has several free or low-cost recreation facilities, such as parks, walking trails, bike paths, recreation centers, playgrounds, public swimming pools, etc [PhenX]",Observation,LOINC,Clinical Observation,S,66361-7,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1334,pxne7,,The crime rate in my neighborhood makes it unsafe to go on walks at night. Would you say that you...,40769035,,The crime rate in my neighborhood makes it unsafe to go on walks at night [PhenX],Observation,LOINC,Clinical Observation,S,66362-5,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1335,pxne8,,There is so much traffic on the streets that it makes it difficult or unpleasant to walk in my neighborhood. Would you say that you...,2005200113,2005200113,There is so much traffic on the streets that it makes it difficult or unpleasant to walk in my neighborhood. Would you say that you...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1336,pxne9,,"I see many people being physically active in my neighborhood doing things like walking, jogging, cycling, or playing sports and active games. Would you say that you...",2005200114,2005200114,"I see many people being physically active in my neighborhood doing things like walking, jogging, cycling, or playing sports and active games. Would you say that you...",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1337,pxne10,,There are many interesting things to look at while walking in my neighborhood. Would you say you...,2005200115,2005200115,There are many interesting things to look at while walking in my neighborhood. Would you say you...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,dropdown,,1338,pxne11,,"How many motor vehicles in working order (e.g., cars, trucks, motorcycles) are there at your household?",2005200116,2005200116,"How many motor vehicles in working order (e.g., cars, trucks, motorcycles) are there at your household?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1339,pxne12,,There are many four-way intersections in my neighborhood. Would you say that you...,2005200117,2005200117,There are many four-way intersections in my neighborhood. Would you say that you...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1340,pxne13,,"The sidewalks in my neighborhood are well maintained (paved, with few cracks) and not obstructed. Would you say that you...",2005200118,2005200118,"The sidewalks in my neighborhood are well maintained (paved, with few cracks) and not obstructed. Would you say that you...",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1341,pxne14,,Places for bicycling (such as bike paths) in and around my neighborhood are well maintained and not obstructed. Would you say that you...,2005200119,2005200119,Places for bicycling (such as bike paths) in and around my neighborhood are well maintained and not obstructed. Would you say that you...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1342,pxne15,,There is so much traffic on the streets that it makes it difficult or unpleasant to ride a bicycle in my neighborhood. Would you say that you...,2005200120,2005200120,There is so much traffic on the streets that it makes it difficult or unpleasant to ride a bicycle in my neighborhood. Would you say that you...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1343,pxne16,,The crime rate in my neighborhood makes it unsafe to go on walks during the day. Would you say that you...,2005200121,2005200121,The crime rate in my neighborhood makes it unsafe to go on walks during the day. Would you say that you...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,radio,,1344,pxne17,,There are many places to go within easy walking distance of my home. Would you say that you...,2005200122,2005200122,There are many places to go within easy walking distance of my home. Would you say that you...,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_neighborhood_environment_survey,text,,1345,pxnestartts,,PhenX Neighborhood Enviroment Survey Started Timestamp (from REDCap),2005200558,,Survey Started Timestamp,Observation,AIREADI,Qualifier Value,S,,skos:exactMatch,1,PhenX Neighborhood Enviroment Survey Started Timestamp (from REDCap),2005200585,PhenX Neighborhood Environment Survey,99423-6
Yes,open-source,px_neighborhood_environment_survey,text,,1346,pxnecmpts,,PhenX Neighborhood Environment Survey Completed Timestamp (from REDCap),2005200559,,Survey Completed Timestamp,Observation,AIREADI,Qualifier Value,S,,skos:exactMatch,1,PhenX Neighborhood Environment Survey Completed Timestamp (from REDCap),2005200585,PhenX Neighborhood Environment Survey,99423-6
Yes,open-source,px_neighborhood_environment_survey,text,,1347,px291201_metadata,,PhenX Neighborhood Environment MetaData,2005200102,2005200102,PhenX MetaData,Observation,AIREADI,Survey,S,,skos:exactMatch,1,PhenX Neighborhood Environment MetaData,2005200585,PhenX Neighborhood Environment Survey,
Yes,open-source,px_racial_ethnic_discrimination_survey,text,,1348,pxrdcmpdat,,PhenX Racial/Ethnic Discrimination survey date,4160030,,Performed,Observation,SNOMED,Qualifier Value,S,398166005,skos:closeMatch,0.75,PhenX Racial/Ethnic Discrimination survey date,2005200586,PhenX Racial/Ethnic Survey,Performed on value_as_concept_id = 1035260 | LA30233-3
No,locked (unavailable),px_racial_ethnic_discrimination_survey,text,,1349,pxrd_crcid,,Interviewer Code,none - OPS,,,,,,,N/A - operational variable,,,,,,
No,open-source,px_racial_ethnic_discrimination_survey,checkbox,,1350,pxrd_nd,,No participant response,915709,,Patient survey results not available,Observation,HCPCS,HCPCS,S,G9604,skos:closeMatch,0.75,,,,LA10996-9
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1351,pxrd1,,How often in the past year?,2005200126,2005200126,How often have you been treated unfairly by teachers and professors because of your race/ethnic group? How often in the past year?,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1352,pxrd2,,How often in your entire life?,2005200127,2005200127,How often have you been treated unfairly by teachers and professors because of your race/ethnic group? How often in your entire life?,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1353,pxrd3,,"On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",2005200128,2005200128,"How often have you been treated unfairly by teachers and professors because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1354,pxrd4,,How often in the past year?,2005200493,2005200493,"How often have you been treated unfairly by employers, bosses and supervisors because of your race/ethnic group? How often in the past year?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1355,pxrd5,,How often in your entire life?,2005200494,2005200494,"How often have you been treated unfairly by employers, bosses and supervisors because of your race/ethnic group? How often in your entire life?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1356,pxrd6,,"On a scale of 1-6, how stressful was this for you?    1= Not at all stressful; 6 = Extremely stressful",2005200495,2005200495,"How often have you been treated unfairly by employers, bosses and supervisors because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1357,pxrd7,,How often in the past year?,2005200496,2005200496,"How often have you been treated unfairly by your co-workers, fellow students, and colleagues because of your race/ethnic group? How often in the past year?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1358,pxrd8,,How often in your entire life?,2005200497,2005200497,"How often have you been treated unfairly by your co-workers, fellow students, and colleagues because of your race/ethnic group? How often in your entire life?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1359,pdrx9,,"On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",2005200498,2005200498,"How often have you been treated unfairly by your co-workers, fellow students, and colleagues because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1360,pxrd10,,How often in the past year?,2005200499,2005200499,"How often have you been treated unfairly by people in service jobs (by store clerks, waiters, bartenders, bank tellers and others) because of your race/ethnic group? How often in the past year?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1361,pxrd11,,How often in your entire life?,2005200500,2005200500,"How often have you been treated unfairly by people in service jobs (by store clerks, waiters, bartenders, bank tellers and others) because of your race/ethnic group? How often in your entire life?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1362,pxrd12,,"On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",2005200501,2005200501,"How often have you been treated unfairly by people in service jobs (by store clerks, waiters, bartenders, bank tellers and others) because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1363,pxrd13,,How often in the past year?,2005200502,2005200502,How often have you been treated unfairly by strangers because of your race/ethnic group? How often in the past year?,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1364,pxrd14,,How often in your entire life?,2005200503,2005200503,How often have you been treated unfairly by strangers because of your race/ethnic group? How often in your entire life?,Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1365,pxrd15,,"On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",2005200504,2005200504,"How often have you been treated unfairly by strangers because of your race/ethnic group? On a scale of 1-6, how stressful was this for you? 1 = Not at all stressful; 6 = Extremely stressful",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1366,pxrd16,,How often in the past year?,2005200505,2005200505,"How often have you been treated unfairly by people in helping jobs (by doctors, nurses, psychiatrists, case workers, dentists, school counselors, therapists, social workers and others) because of your race/ethnic group? How often in the past year?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
Yes,open-source,px_racial_ethnic_discrimination_survey,radio,,1367,pxrd17,,How often in your entire life?,2005200506,2005200506,"How often have you been treated unfairly by people in helping jobs (by doctors, nurses, psychiatrists, case workers, dentists, school counselors, therapists, social workers and others) because of your race/ethnic group? How often in your entire life?",Observation,AIREADI,Survey,S,,skos:exactMatch,1,,,,
